Text Inputs : Specimen label,"Long Plate 2 Test 1"

Time,Extension,Load,Compressive extension,Compressive load,Segment ID,Total Cycle Count
(sec),(mm),(N),(mm),(N),,
0.00000,-0.02696,-0.07835,0.00000,0.07835,12835,0
0.00180,-0.02696,-0.08350,0.00000,0.08350,12835,0
0.10000,-0.02696,-0.06569,0.00000,0.06569,12835,0
0.20000,-0.02696,-0.07939,0.00000,0.07939,12835,0
0.30000,-0.02696,-0.09682,0.00000,0.09682,12835,0
0.57120,-0.02696,-0.06607,0.00000,0.06607,12835,0
0.67120,-0.02696,-0.09660,0.00000,0.09660,12835,0
0.77120,-0.02696,-0.07276,0.00000,0.07276,12835,0
0.87120,-0.02696,-0.11674,0.00000,0.11674,12835,0
0.97120,-0.02696,-0.09057,0.00000,0.09057,12835,0
1.07120,-0.02696,-0.08928,0.00000,0.08928,12835,0
1.17120,-0.02696,-0.09431,0.00000,0.09431,3220,0
1.17980,-0.02696,-0.08833,0.00000,0.08833,3220,0
1.27120,-0.05552,-0.14586,0.02855,0.14586,3220,0
1.37120,-0.10880,-0.06913,0.08184,0.06913,3220,0
1.47120,-0.16045,-0.11464,0.13349,0.11464,3220,0
1.57120,-0.21127,-0.13946,0.18431,0.13946,3220,0
1.67120,-0.26172,-0.07454,0.23476,0.07454,3220,0
1.77120,-0.31188,-0.09766,0.28492,0.09766,3220,0
1.87120,-0.36198,-0.10589,0.33502,0.10589,3220,0
1.97120,-0.41206,-0.11538,0.38510,0.11538,3220,0
2.05580,-0.45453,-0.08341,0.42757,0.08341,3220,0
2.05680,-0.45503,-0.08028,0.42807,0.08028,3220,0
2.07120,-0.46201,-0.07172,0.43505,0.07172,3220,0
2.17120,-0.51203,-0.13217,0.48507,0.13217,3220,0
2.25280,-0.55297,-0.11689,0.52601,0.11689,3220,0
2.25380,-0.55347,-0.11804,0.52651,0.11804,3220,0
2.27120,-0.56194,-0.16021,0.53498,0.16021,3220,0
2.31380,-0.58342,-0.08741,0.55646,0.08741,3220,0
2.31680,-0.58492,-0.07903,0.55796,0.07903,3220,0
2.37120,-0.61196,-0.03476,0.58499,0.03476,3220,0
2.47120,-0.66202,-0.15271,0.63506,0.15271,3220,0
2.57120,-0.71201,-0.13147,0.68505,0.13147,3220,0
2.67120,-0.76212,-0.14680,0.73515,0.14680,3220,0
2.77120,-0.81204,-0.13580,0.78508,0.13580,3220,0
2.87120,-0.86202,-0.05766,0.83506,0.05766,3220,0
2.97120,-0.91207,-0.13691,0.88510,0.13691,3220,0
3.00380,-0.92853,-0.09319,0.90157,0.09319,3220,0
3.00680,-0.93002,-0.07865,0.90306,0.07865,3220,0
3.07120,-0.96198,-0.11240,0.93502,0.11240,3220,0
3.17120,-1.01197,-0.15440,0.98500,0.15440,3220,0
3.19280,-1.02299,-0.28983,0.99603,0.28983,3220,0
3.26480,-1.05891,-0.82188,1.03195,0.82188,3220,0
3.26780,-1.06041,-0.83624,1.03345,0.83624,3220,0
3.27080,-1.06191,-0.84890,1.03495,0.84890,3220,0
3.27120,-1.06191,-0.84890,1.03495,0.84890,3220,0
3.31180,-1.08244,-1.14206,1.05548,1.14206,3220,0
3.31480,-1.08394,-1.16761,1.05698,1.16761,3220,0
3.32780,-1.09044,-1.25986,1.06348,1.25986,3220,0
3.33280,-1.09293,-1.30732,1.06597,1.30732,3220,0
3.33580,-1.09443,-1.33539,1.06747,1.33539,3220,0
3.37120,-1.11195,-1.57741,1.08499,1.57741,3220,0
3.39680,-1.12499,-1.72196,1.09803,1.72196,3220,0
3.45980,-1.15653,-2.22682,1.12957,2.22682,3220,0
3.47120,-1.16202,-2.33460,1.13506,2.33460,3220,0
3.54080,-1.19701,-2.75416,1.17005,2.75416,3220,0
3.57120,-1.21204,-3.03310,1.18508,3.03310,3220,0
3.61580,-1.23459,-3.40711,1.20763,3.40711,3220,0
3.66580,-1.25963,-3.73152,1.23267,3.73152,3220,0
3.67080,-1.26213,-3.77928,1.23517,3.77928,3220,0
3.67120,-1.26213,-3.77928,1.23517,3.77928,3220,0
3.67380,-1.26363,-3.80401,1.23667,3.80401,3220,0
3.71980,-1.28664,-4.16962,1.25968,4.16962,3220,0
3.72280,-1.28814,-4.19188,1.26118,4.19188,3220,0
3.73980,-1.29662,-4.28928,1.26965,4.28928,3220,0
3.74680,-1.30011,-4.32940,1.27315,4.32940,3220,0
3.74980,-1.30161,-4.34529,1.27465,4.34529,3220,0
3.77120,-1.31210,-4.44272,1.28513,4.44272,3220,0
3.81980,-1.33659,-4.75965,1.30963,4.75965,3220,0
3.83080,-1.34208,-4.83416,1.31512,4.83416,3220,0
3.83180,-1.34258,-4.84107,1.31562,4.84106,3220,0
3.87120,-1.36210,-5.14464,1.33514,5.14464,3220,0
3.90080,-1.37713,-5.29343,1.35017,5.29343,3220,0
3.97120,-1.41204,-5.77700,1.38508,5.77700,3220,0
3.97680,-1.41502,-5.81429,1.38806,5.81429,3220,0
4.04980,-1.45149,-6.31059,1.42453,6.31059,3220,0
4.07120,-1.46195,-6.48473,1.43499,6.48473,3220,0
4.08680,-1.46996,-6.58954,1.44299,6.58954,3220,0
4.10980,-1.48202,-6.74254,1.45505,6.74254,3220,0
4.14580,-1.51138,-7.15882,1.48442,7.15882,3220,0
4.17120,-1.53719,-7.50444,1.51023,7.50444,3220,0
