Text Inputs : Specimen label,"Short Plate 1 T3"

Time,Extension,Load,Compressive extension,Compressive load,Segment ID,Total Cycle Count
(sec),(mm),(N),(mm),(N),,
0.00000,-0.02602,0.03006,0.00000,-0.03006,12835,0
0.00180,-0.02602,0.03545,0.00000,-0.03545,12835,0
0.07780,-0.02602,0.01351,0.00000,-0.01351,12835,0
0.08080,-0.02602,0.01126,0.00000,-0.01126,12835,0
0.10000,-0.02602,-0.01853,0.00000,0.01853,12835,0
0.13180,-0.02602,0.03806,0.00000,-0.03806,12835,0
0.13280,-0.02602,0.03842,0.00000,-0.03842,12835,0
0.20000,-0.02602,0.01184,0.00000,-0.01184,12835,0
0.24280,-0.02602,-0.02423,0.00000,0.02423,12835,0
0.24380,-0.02602,-0.02137,0.00000,0.02137,12835,0
0.26180,-0.02602,0.00479,0.00000,-0.00479,12835,0
0.26280,-0.02602,0.00625,0.00000,-0.00625,12835,0
0.29380,-0.02602,0.02238,0.00000,-0.02238,12835,0
0.29480,-0.02602,0.01911,0.00000,-0.01911,12835,0
0.30000,-0.02602,0.00095,0.00000,-0.00095,12835,0
0.36880,-0.02602,-0.00580,0.00000,0.00580,12835,0
0.36980,-0.02602,-0.00402,0.00000,0.00402,12835,0
0.39980,-0.02602,0.01054,0.00000,-0.01054,12835,0
0.40000,-0.02602,0.01054,0.00000,-0.01054,12835,0
0.40080,-0.02602,0.01172,0.00000,-0.01172,12835,0
0.41180,-0.02602,0.00260,0.00000,-0.00260,12835,0
0.41280,-0.02602,0.00230,0.00000,-0.00230,12835,0
0.42380,-0.02602,-0.00459,0.00000,0.00459,12835,0
0.42480,-0.02602,-0.00461,0.00000,0.00461,12835,0
0.60720,-0.02602,0.01923,0.00000,-0.01923,12835,0
0.60880,-0.02602,0.02086,0.00000,-0.02086,12835,0
0.61180,-0.02602,0.02959,0.00000,-0.02959,12835,0
0.62380,-0.02602,0.03802,0.00000,-0.03802,12835,0
0.62780,-0.02602,0.02706,0.00000,-0.02706,12835,0
0.65380,-0.02602,0.00439,0.00000,-0.00439,12835,0
0.65480,-0.02602,0.00335,0.00000,-0.00335,12835,0
0.67580,-0.02602,-0.01170,0.00000,0.01170,12835,0
0.67680,-0.02602,-0.00896,0.00000,0.00896,12835,0
0.68380,-0.02602,0.00308,0.00000,-0.00308,12835,0
0.68680,-0.02602,-0.00012,0.00000,0.00012,12835,0
0.70720,-0.02602,-0.00051,0.00000,0.00051,12835,0
0.74380,-0.02602,0.00603,0.00000,-0.00603,12835,0
0.74480,-0.02602,0.00717,0.00000,-0.00717,12835,0
0.76180,-0.02602,0.03500,0.00000,-0.03500,12835,0
0.76580,-0.02602,0.03014,0.00000,-0.03014,12835,0
0.80720,-0.02602,0.01067,0.00000,-0.01067,12835,0
0.81380,-0.02602,0.01329,0.00000,-0.01329,12835,0
0.81480,-0.02602,0.01537,0.00000,-0.01537,12835,0
0.84180,-0.02602,0.05138,0.00000,-0.05138,12835,0
0.84280,-0.02602,0.04950,0.00000,-0.04950,12835,0
0.90720,-0.02602,-0.00858,0.00000,0.00858,12835,0
0.96280,-0.02602,0.02732,0.00000,-0.02732,3220,0
0.96380,-0.02602,0.03029,0.00000,-0.03029,3220,0
1.00720,-0.02602,-0.00545,0.00000,0.00545,3220,0
1.03180,-0.02602,0.02310,0.00000,-0.02310,3220,0
1.03280,-0.02602,0.02369,0.00000,-0.02369,3220,0
1.06480,-0.02602,0.01377,0.00000,-0.01377,3220,0
1.09580,-0.02757,0.01351,0.00155,-0.01351,3220,0
1.09680,-0.02776,0.01425,0.00174,-0.01425,3220,0
1.10720,-0.03038,0.01845,0.00436,-0.01845,3220,0
1.15180,-0.05246,-0.01886,0.02644,0.01886,3220,0
1.15580,-0.05468,-0.02398,0.02866,0.02398,3220,0
1.20380,-0.08063,-0.01787,0.05461,0.01787,3220,0
1.20480,-0.08116,-0.01694,0.05514,0.01694,3220,0
1.20720,-0.08221,-0.01464,0.05619,0.01464,3220,0
1.30720,-0.13430,-0.00513,0.10828,0.00513,3220,0
1.40720,-0.18545,-0.00916,0.15943,0.00916,3220,0
1.43180,-0.19810,0.00112,0.17208,-0.00112,3220,0
1.43280,-0.19861,0.00484,0.17259,-0.00484,3220,0
1.50720,-0.23594,-0.02452,0.20992,0.02452,3220,0
1.60720,-0.28631,0.00742,0.26029,-0.00742,3220,0
1.70380,-0.33492,-0.00688,0.30890,0.00688,3220,0
