Text Inputs : Specimen label,"Long Plate 6 T1"

Time,Extension,Load,Compressive extension,Compressive load,Segment ID,Total Cycle Count
(sec),(mm),(N),(mm),(N),,
0.00000,-0.02626,-0.01116,0.00000,0.01116,12835,0
0.00180,-0.02626,-0.01464,0.00000,0.01464,12835,0
0.10000,-0.02626,0.00037,0.00000,-0.00037,12835,0
0.20000,-0.02626,-0.02133,0.00000,0.02133,12835,0
0.30000,-0.02626,-0.01120,0.00000,0.01120,12835,0
0.40000,-0.02626,-0.03114,0.00000,0.03114,12835,0
0.61420,-0.02626,0.02291,0.00000,-0.02291,12835,0
0.71420,-0.02626,0.01681,0.00000,-0.01681,12835,0
0.81420,-0.02626,-0.01316,0.00000,0.01316,12835,0
0.91420,-0.02626,-0.02757,0.00000,0.02757,12835,0
1.01420,-0.02626,-0.00886,0.00000,0.00886,3220,0
1.01780,-0.02626,-0.00769,0.00000,0.00769,3220,0
1.11420,-0.05749,-0.00491,0.03123,0.00491,3220,0
1.21420,-0.11074,-0.02034,0.08448,0.02034,3220,0
1.31420,-0.16227,-0.02055,0.13601,0.02055,3220,0
1.41420,-0.21324,-0.02151,0.18698,0.02151,3220,0
1.51420,-0.26356,-0.00620,0.23730,0.00620,3220,0
1.61420,-0.31368,-0.01264,0.28742,0.01264,3220,0
1.71420,-0.36380,-0.02333,0.33754,0.02333,3220,0
1.81420,-0.41370,-0.04058,0.38744,0.04058,3220,0
1.91420,-0.46380,-0.01049,0.43754,0.01049,3220,0
2.01420,-0.51375,-0.03119,0.48749,0.03119,3220,0
2.11420,-0.56379,0.00395,0.53753,-0.00395,3220,0
2.21420,-0.61386,0.02716,0.58760,-0.02716,3220,0
2.31420,-0.66380,0.00703,0.63754,-0.00703,3220,0
2.41420,-0.71384,-0.00923,0.68758,0.00923,3220,0
2.51420,-0.76378,-0.04276,0.73752,0.04276,3220,0
2.53280,-0.77324,-0.15601,0.74698,0.15601,3220,0
2.57580,-0.79475,-0.59721,0.76849,0.59721,3220,0
2.61420,-0.81381,-0.95462,0.78755,0.95462,3220,0
2.62980,-0.82187,-1.11783,0.79561,1.11783,3220,0
2.68280,-0.84850,-1.60699,0.82224,1.60699,3220,0
2.71420,-0.86399,-1.89799,0.83773,1.89799,3220,0
2.71980,-0.86699,-1.96189,0.84073,1.96188,3220,0
2.80180,-0.90783,-2.72043,0.88157,2.72043,3220,0
2.81420,-0.91382,-2.81909,0.88756,2.81909,3220,0
2.82680,-0.92030,-2.94719,0.89403,2.94719,3220,0
2.88780,-0.95082,-3.55879,0.92456,3.55879,3220,0
2.91420,-0.96384,-3.75191,0.93758,3.75191,3220,0
