Text Inputs : Specimen label,"Short Plate 1 T2"

Time,Extension,Load,Compressive extension,Compressive load,Segment ID,Total Cycle Count
(sec),(mm),(N),(mm),(N),,
0.00000,-0.02558,-0.05749,0.00000,0.05749,12835,0
0.00180,-0.02558,-0.05881,0.00000,0.05881,12835,0
0.10000,-0.02558,-0.06276,0.00000,0.06276,12835,0
0.20000,-0.02558,-0.08256,0.00000,0.08256,12835,0
0.30000,-0.02558,-0.06733,0.00000,0.06733,12835,0
0.56620,-0.02558,-0.06971,0.00000,0.06971,12835,0
0.66620,-0.02558,-0.09658,0.00000,0.09658,12835,0
0.76620,-0.02558,-0.09361,0.00000,0.09361,12835,0
0.86620,-0.02558,-0.08450,0.00000,0.08450,12835,0
0.96620,-0.02558,-0.09260,0.00000,0.09260,12835,0
1.06620,-0.02558,-0.06939,0.00000,0.06939,12835,0
1.13880,-0.02558,-0.09732,0.00000,0.09732,3220,0
1.16620,-0.02650,-0.09331,0.00091,0.09331,3220,0
1.26620,-0.07393,-0.06413,0.04835,0.06413,3220,0
1.36620,-0.12630,-0.09316,0.10072,0.09316,3220,0
1.46620,-0.17740,-0.10853,0.15182,0.10853,3220,0
1.56620,-0.22800,-0.09907,0.20242,0.09907,3220,0
1.66620,-0.27820,-0.08456,0.25262,0.08456,3220,0
1.76620,-0.32837,-0.06767,0.30279,0.06767,3220,0
1.86620,-0.37850,-0.07090,0.35292,0.07090,3220,0
1.96620,-0.42845,-0.07769,0.40287,0.07769,3220,0
2.06620,-0.47861,-0.10054,0.45303,0.10054,3220,0
2.16620,-0.52862,-0.10215,0.50304,0.10215,3220,0
2.26620,-0.57875,-0.06656,0.55317,0.06656,3220,0
2.31180,-0.60185,-0.15465,0.57627,0.15465,3220,0
2.36080,-0.62625,-0.57496,0.60067,0.57496,3220,0
2.36620,-0.62876,-0.63969,0.60318,0.63969,3220,0
2.40680,-0.64923,-1.07037,0.62365,1.07037,3220,0
2.46180,-0.67663,-1.63916,0.65105,1.63916,3220,0
2.46620,-0.67863,-1.68125,0.65305,1.68125,3220,0
2.49680,-0.69418,-1.98863,0.66860,1.98863,3220,0
2.55080,-0.72123,-2.56186,0.69565,2.56186,3220,0
2.56620,-0.72873,-2.72605,0.70315,2.72605,3220,0
2.59880,-0.74521,-3.07988,0.71963,3.07988,3220,0
2.65280,-0.77210,-3.61199,0.74652,3.61199,3220,0
2.66620,-0.77859,-3.71858,0.75301,3.71858,3220,0
2.71980,-0.80559,-4.20814,0.78000,4.20814,3220,0
2.76620,-0.82862,-4.60239,0.80304,4.60239,3220,0
2.77080,-0.83112,-4.65498,0.80554,4.65498,3220,0
2.82680,-0.85912,-5.17065,0.83354,5.17065,3220,0
2.86620,-0.87856,-5.51060,0.85298,5.51060,3220,0
2.86780,-0.87956,-5.52918,0.85398,5.52918,3220,0
2.93580,-0.91354,-6.19155,0.88796,6.19155,3220,0
2.96620,-0.92852,-6.47965,0.90294,6.47965,3220,0
2.99380,-0.94253,-6.70835,0.91695,6.70835,3220,0
2.99580,-0.94354,-6.72564,0.91795,6.72564,3220,0
3.02380,-0.95883,-7.03063,0.93325,7.03063,3220,0
3.05080,-0.98119,-7.46650,0.95561,7.46650,3220,0
3.06620,-0.99634,-7.79217,0.97076,7.79217,3220,0
3.07380,-1.00472,-7.96381,0.97914,7.96381,3220,0
3.10280,-1.03519,-8.51108,1.00961,8.51108,3220,0
3.13180,-1.06520,-9.01814,1.03962,9.01814,3220,0
3.16180,-1.09595,-9.56150,1.07037,9.56150,3220,0
3.16620,-1.10004,-9.63091,1.07446,9.63091,3220,0
3.19080,-1.12559,-10.07507,1.10001,10.07507,3220,0
3.21180,-1.14693,-10.42616,1.12135,10.42616,3220,0
3.25280,-1.18844,-11.02081,1.16286,11.02081,3220,0
3.26620,-1.20158,-11.22672,1.17600,11.22672,3220,0
3.28180,-1.21778,-11.50600,1.19220,11.50600,22476,0
3.30580,-1.24204,-11.94180,1.21646,11.94180,22476,0
3.34980,-1.28625,-12.56098,1.26067,12.56098,22476,0
3.36620,-1.30231,-12.76773,1.27673,12.76773,22476,0
3.39680,-1.33340,-13.15334,1.30781,13.15334,22476,0
3.42180,-1.35844,-13.50863,1.33286,13.50863,22476,0
3.46380,-1.40056,-14.03782,1.37498,14.03782,22476,0
3.46620,-1.40257,-14.06521,1.37699,14.06521,22476,0
3.49280,-1.42963,-14.50731,1.40405,14.50731,22476,0
3.53480,-1.47177,-15.11288,1.44619,15.11287,22476,0
